2022-06-27 11:26:24 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 11:27:40 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 11:29:30 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:30:46 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:31:09 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:33:32 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:39:49 | 127.0.0.1 | POST | 400 - - | /addUser 
2022-06-27 11:39:55 | 127.0.0.1 | POST | 400 - - | /addUser 
2022-06-27 11:40:17 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 11:40:17 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 11:40:17 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:40:17 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:40:18 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:40:18 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:40:18 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 11:41:46 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 11:41:46 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 11:41:46 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:41:46 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:41:46 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 11:42:06 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 11:42:06 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 11:42:06 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:42:06 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:42:06 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 11:42:24 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 11:42:24 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 11:42:24 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:42:24 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:42:24 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 11:43:06 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 11:43:06 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 11:43:06 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 11:43:06 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 11:43:06 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 11:43:23 | 127.0.0.1 | POST | 200 - - | /addUser 
2022-06-27 11:44:57 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:45:03 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:45:11 | 127.0.0.1 | POST | 501 - - | /addUser 
2022-06-27 11:45:16 | 127.0.0.1 | POST | 200 - - | /addUser 
2022-06-27 12:56:14 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 12:56:14 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 12:56:14 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 12:56:14 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 12:56:14 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 12:56:24 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:12:58 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 13:13:37 | 127.0.0.1 | POST | 404 - Cannot POST /addUser | /addUser 
2022-06-27 13:14:26 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:14:26 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 13:14:26 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:14:26 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:14:26 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 13:14:59 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:14:59 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 13:14:59 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:14:59 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:14:59 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 13:15:11 | 127.0.0.1 | POST | 200 - - | /users/addUser 
2022-06-27 13:15:32 | 127.0.0.1 | POST | 501 - - | /users/Login 
2022-06-27 13:18:45 | 127.0.0.1 | POST | 501 - - | /users/Login 
2022-06-27 13:19:58 | 127.0.0.1 | POST | 501 - - | /users/Login 
2022-06-27 13:20:16 | 127.0.0.1 | POST | 501 - - | /users/addUser 
2022-06-27 13:24:16 | 127.0.0.1 | POST | 501 - - | /users/Login 
2022-06-27 13:25:23 | 127.0.0.1 | POST | 501 - - | /users/Login 
2022-06-27 13:25:49 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:26:11 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:32:06 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:32:12 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:34:19 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:34:19 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 13:34:19 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:34:19 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:34:20 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 13:34:20 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 13:34:20 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 13:34:33 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:35:33 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:36:48 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:37:38 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:47:56 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:48:02 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 13:54:04 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 13:54:06 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:03:12 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:03:12 | 127.0.0.1 | GET | 404 - Cannot GET /favicon.ico | /favicon.ico 
2022-06-27 14:04:11 | 127.0.0.1 | GET | 200 - - | index.html 
